"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EP003","Feature6: Verify Help_And_Support Button","Story: verify the Help_And_Support Button and after clicked on the Help_And_Support button its get jumped on help and support page","0","0","1","0","0"
"EP003","Feature9: Verify Troubleshoot Button","Story: verify the Troubleshoot Button and after clicked on the Troubleshoot Button its should jumed on Troubleshoot page","0","0","1","0","0"
"EP002","Feature5: Verify Upload Button","Story: verify the Upload Button which is peresence on Home Page","0","0","1","0","0"
"EP002","Feature6: Verify Earn Button","Story: verify the Earn Button which is peresence on Home Page","0","0","1","0","0"
"EP001","Feature6: Verify Full Name Edit Text with Valid data and Mobile Number Edit Text with Empty data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP002","Feature2: Verify Menu Button","Story: verify the Menu Button which is peresence on Home Page","0","0","1","0","0"
"EP001","Feature4: Verify Full Name Edit Text with Empty data and Mobile Number Edit Text with Empty data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP003","Feature4: Verify My_Profile Button","Story: verify the My_Profile Button and after clicked on the My_Profile Button it should jump on My profile page that we can check with the screenshot","0","0","1","0","0"
"EP001","Feature2: Verify Full Name Edit Text with Valid data and Mobile Number Edit Text with Invalid data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP003","Feature1: HomePage Scrolling","Story: Scroll the home page on both side up and down","0","0","1","0","0"
"EP001","Feature3: Verify Full Name Edit Text with invalid data(invalid name by using Speacal charachter) and Mobile Number Edit Text with valid data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP001","Feature5: Verify Full Name Edit Text with Empty data and Mobile Number Edit Text with valid data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP001","Feature1: Verify Full Name Edit Text with invalid data and Mobile Number Edit Text with valid data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP002","Feature9: Verify ContactUs Button","Story: verify the ContactUs Button which is peresence on Home Page","0","0","1","0","0"
"EP001","Feature9: Verify Full Name Edit Text with Valid data and Mobile Number Edit Text with valid data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP002","Feature7: Verify MyKhata Button","Story: verify the MyKhata Button which is peresence on Home Page","0","0","1","0","0"
"EP003","Feature3: Verify My_Loans Button","Story: verify the My_Loans Button and after click on the My_Loans button it should jump on My_Loans page that we can see in screen shot","0","0","1","0","0"
"EP002","Feature1: HomePage Scrolling","Story: Scroll the home page on both side up and down","0","0","1","0","0"
"","","","0","1","0","0","0"
"EP002","Feature4: Verify Mobile Number Verify Button","Story: verify the Mobile Number Verify Button which is peresence on Home Page","0","0","1","0","0"
"EP003","Feature5: Verify All_Transaction Button","Story: verify the All_Transaction Button and checked after clicked on the All_Transaction buttont its get jumped on All_Transaction page","0","0","1","0","0"
"EP001","Feature7: Verify Full Name Edit Text with Valid data and Mobile Number Edit Text with Space in data ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP003","Feature2: Verify Home Button","Story: verify the Home Button and its completely working fine after click on the Home Button we suppose to get Home Page and that we can see in screenshot","0","0","1","0","0"
"EP003","Feature8: Verify Language Button","Story: verify the Menu Button and after clicked on the Language Button its Should jumped on Language Setting Page","0","0","1","0","0"
"EP001","Feature8: Verify Full Name Edit Text with Valid data and Mobile Number Edit Text with Eight Digits Number ","Story: verify Full name Edit text and Mobile Number Edit Text which is peresence Registration page on signup","0","0","1","0","0"
"EP002","Feature8: Verify MyProfile Button","Story: verify the MyProfile Button which is peresence on Home Page","0","0","1","0","0"
"EP002","Feature3: Verify Chat ShortCut Button","Story: verify the Chat ShortCut Button which is peresence on Home Page","0","0","1","0","0"
"EP003","Feature7: Verify FAQ Button","Story: verify the FAQ Button and after clicked on the FAQ button its get jumped on FAQ Page","0","0","1","0","0"
"EP003","Feature10: Verify My_Bank_Details Button","Story: verify the My_Bank_Details Button and verified its geting jummped On My_Bank_Details page","0","0","1","0","0"
